Materials-1,Materials-2,Electrolyte,Voltage window (V),Specific surface area (m2/g),Pore volume (cm3/g),Pore size (nm),Micropore volume (cm3/g),SSA of micropores (m2/g),Id/Ig,N (at. %),O (at. %),B (at. %),S (at. %),F (at. %),P (at. %),Capacitance (F/g),is_composite,has_material_note,mat1_enc,mat2_enc,elec_enc
CNT,none,h2so4,1.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.7,0,0,9,5,9
porous carbon,none,h2so4,0.8,673.43,0.36,2.13,0.22,436.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.5,0,0,36,5,9
porous carbon,none,h2so4,0.8,1040.31,0.61,2.35,0.29,586.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425.8,0,0,36,5,9
porous carbon,none,h2so4,0.8,593.82,0.37,2.49,0.2,414.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394.0,0,0,36,5,9
AC,none,h2so4,0.8,381.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528.0,0,0,3,5,9
AC,none,h2so4,0.8,683.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,0,0,3,5,9
AC,none,h2so4,0.8,559.11,0.0,0.0,0.0,0.0,0.0,0.0,8.43,0.0,0.0,0.0,0.0,420.0,0,0,3,5,9
AC,none,h2so4,1.0,1386.0,0.904,0.7,0.441,0.0,0.0,0.0,7.1,0.0,1.0,0.0,0.0,155.0,0,0,3,5,9
AC,none,h2so4,1.0,1615.0,1.237,0.5,0.545,0.0,0.0,0.0,11.3,0.0,0.3,0.0,0.0,175.0,0,0,3,5,9
AC,none,h2so4,1.0,1766.0,1.527,0.7,0.537,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,210.0,0,0,3,5,9
AC,graphene,h2so4,1.0,775.0,0.54,0.5,0.271,0.0,0.0,0.0,8.5,0.0,1.7,0.0,0.0,155.0,1,0,3,4,9
AC,graphene,h2so4,1.0,1231.0,1.437,0.7,0.269,0.0,0.0,0.0,9.2,0.0,1.7,0.0,0.0,185.0,1,0,3,4,9
